iso,country_name,min_year,max_year,level
URY,uruguay,1961,2010,adm0
USA,united_states,1961,2010,adm0
UST,ussr,1961,2010,adm0
VCT,saint_vincent_and_the_grenadines,1961,2010,adm0
VEN,venezuela_(bolivarian_republic_of),1961,2010,adm0
VNM,viet_nam,1961,2010,adm0
VUT,vanuatu,1961,2010,adm0
WLF,wallis_and_futuna_islands,1961,2010,adm0
WSM,samoa,1961,2010,adm0
YEM,yemen,1961,2010,adm0
YG,yugoslav_sfr,1961,2010,adm0
ZAF,south_africa,1961,2010,adm0
ZMB,zambia,1961,2010,adm0
ZWE,zimbabwe,1961,2010,adm0
