country_id,iso,name_engli,year_adm0covariates,year_adm1covariates
128,LBR,Liberia,1946-2016,1989-2016
129,LBY,Libya,1946-2016,1989-2016
130,LCA,Saint Lucia,1946-2016,1989-2016
131,LIE,Liechtenstein,1946-2016,1989-2016
132,LKA,Sri Lanka,1946-2016,1989-2016
133,LSO,Lesotho,1946-2016,1989-2016
134,LTU,Lithuania,1946-2016,1989-2016
135,LUX,Luxembourg,1946-2016,1989-2016
136,LVA,Latvia,1946-2016,1989-2016
137,MAC,Macao,1946-2016,1989-2016
138,MAF,Saint-Martin,1946-2016,1989-2016
139,MAR,Morocco,1946-2016,1989-2016
140,MCO,Monaco,1946-2016,1989-2016
141,MDA,Moldova,1946-2016,1989-2016
142,MDG,Madagascar,1946-2016,1989-2016
143,MDV,Maldives,1946-2016,1989-2016
144,MEX,Mexico,1946-2016,1989-2016
145,MHL,Marshall Islands,1946-2016,1989-2016
146,MKD,Macedonia,1946-2016,1989-2016
147,MLI,Mali,1946-2016,1989-2016
148,MLT,Malta,1946-2016,1989-2016
149,MMR,Myanmar,1946-2016,1989-2016
150,MNE,Montenegro,1946-2016,1989-2016
151,MNG,Mongolia,1946-2016,1989-2016
152,MNP,Northern Mariana Islands,1946-2016,1989-2016
153,MOZ,Mozambique,1946-2016,1989-2016
154,MRT,Mauritania,1946-2016,1989-2016
155,MSR,Montserrat,1946-2016,1989-2016
156,MTQ,Martinique,1946-2016,1989-2016
157,MUS,Mauritius,1946-2016,1989-2016
158,MWI,Malawi,1946-2016,1989-2016
159,MYS,Malaysia,1946-2016,1989-2016
160,MYT,Mayotte,1946-2016,1989-2016
161,NAM,Namibia,1946-2016,1989-2016
162,NCL,New Caledonia,1946-2016,1989-2016
163,NER,Niger,1946-2016,1989-2016
164,NFK,Norfolk Island,1946-2016,1989-2016
165,NGA,Nigeria,1946-2016,1989-2016
166,NIC,Nicaragua,1946-2016,1989-2016
167,NIU,Niue,1946-2016,1989-2016
168,NLD,Netherlands,1946-2016,1989-2016
169,NOR,Norway,1946-2016,1989-2016
170,NPL,Nepal,1946-2016,1989-2016
171,NRU,Nauru,1946-2016,1989-2016
172,NZL,New Zealand,1946-2016,1989-2016
173,OMN,Oman,1946-2016,1989-2016
174,PAK,Pakistan,1946-2016,1989-2016
175,PAN,Panama,1946-2016,1989-2016
176,PCN,Pitcairn Islands,1946-2016,1989-2016
177,PER,Peru,1946-2016,1989-2016
178,PHL,Philippines,1946-2016,1989-2016
179,PIS,Paracel Islands,1946-2016,1989-2016
180,PLW,Palau,1946-2016,1989-2016
181,PNG,Papua New Guinea,1946-2016,1989-2016
182,POL,Poland,1946-2016,1989-2016
183,PRI,Puerto Rico,1946-2016,1989-2016
184,PRK,North Korea,1946-2016,1989-2016
185,PRT,Portugal,1946-2016,1989-2016
186,PRY,Paraguay,1946-2016,1989-2016
187,PYF,French Polynesia,1946-2016,1989-2016
188,QAT,Qatar,1946-2016,1989-2016
189,REU,Reunion,1946-2016,1989-2016
190,ROU,Romania,1946-2016,1989-2016
191,RUS,Russia,1946-2016,1989-2016
191,SUN,Soviet Union,1946-2016,1989-2016
192,RWA,Rwanda,1946-2016,1989-2016
193,SAU,Saudi Arabia,1946-2016,1989-2016
194,SDN,Sudan,1946-2016,1989-2016
195,SEN,Senegal,1946-2016,1989-2016
196,SGP,Singapore,1946-2016,1989-2016
197,SGS,South Georgia and the South Sandwich Islands,1946-2016,1989-2016
198,SHN,Saint Helena,1946-2016,1989-2016
199,SJM,Svalbard and Jan Mayen,1946-2016,1989-2016
200,SLB,Solomon Islands,1946-2016,1989-2016
201,SLE,Sierra Leone,1946-2016,1989-2016
202,SLV,El Salvador,1946-2016,1989-2016
203,SMR,San Marino,1946-2016,1989-2016
204,SOM,Somalia,1946-2016,1989-2016
205,SP-,Spratly islands,1946-2016,1989-2016
206,SPM,Saint Pierre and Miquelon,1946-2016,1989-2016
207,SRB,Serbia,1946-2016,1989-2016
208,SSD,South Sudan,1946-2016,1989-2016
209,STP,Sao Tome and Principe,1946-2016,1989-2016
210,SUR,Suriname,1946-2016,1989-2016
211,SVK,Slovakia,1946-2016,1989-2016
212,SVN,Slovenia,1946-2016,1989-2016
213,SWE,Sweden,1946-2016,1989-2016
214,SWZ,Swaziland,1946-2016,1989-2016
215,SXM,Sint Maarten,1946-2016,1989-2016
216,SYC,Seychelles,1946-2016,1989-2016
217,SYR,Syria,1946-2016,1989-2016
218,TCA,Turks and Caicos Islands,1946-2016,1989-2016
219,TCD,Chad,1946-2016,1989-2016
220,TGO,Togo,1946-2016,1989-2016
221,THA,Thailand,1946-2016,1989-2016
222,TJK,Tajikistan,1946-2016,1989-2016
223,TKL,Tokelau,1946-2016,1989-2016
224,TKM,Turkmenistan,1946-2016,1989-2016
225,TLS,East Timor,1946-2016,1989-2016
226,TON,Tonga,1946-2016,1989-2016
227,TTO,Trinidad and Tobago,1946-2016,1989-2016
228,TUN,Tunisia,1946-2016,1989-2016
229,TUR,Turkey,1946-2016,1989-2016
230,TUV,Tuvalu,1946-2016,1989-2016
231,TWN,Taiwan,1946-2016,1989-2016
232,TZA,Tanzania,1946-2016,1989-2016
233,UGA,Uganda,1946-2016,1989-2016
234,UKR,Ukraine,1946-2016,1989-2016
235,UMI,United States Minor Outlying Islands,1946-2016,1989-2016
236,URY,Uruguay,1946-2016,1989-2016
237,USA,United States,1946-2016,1989-2016
238,UZB,Uzbekistan,1946-2016,1989-2016
239,VAT,Vatican City,1946-2016,1989-2016
240,VCT,Saint Vincent and the Grenadines,1946-2016,1989-2016
241,VEN,Venezuela,1946-2016,1989-2016
242,VGB,British Virgin Islands,1946-2016,1989-2016
243,VIR,"Virgin Islands, U.S.",1946-2016,1989-2016
244,VNM,Vietnam,1946-2016,1989-2016
245,VUT,Vanuatu,1946-2016,1989-2016
246,WLF,Wallis and Futuna,1946-2016,1989-2016
247,WSM,Samoa,1946-2016,1989-2016
248,XAD,Akrotiri and Dhekelia,1946-2016,1989-2016
249,XCA,Caspian Sea,1946-2016,1989-2016
250,XCL,Clipperton Island,1946-2016,1989-2016
251,XKO,Kosovo,1946-2016,1989-2016
252,XNC,Northern Cyprus,1946-2016,1989-2016
253,YEM,Yemen,1946-2016,1989-2016
254,YUG,Yugoslavia,1946-2016,1989-2016
255,ZAF,South Africa,1946-2016,1989-2016
256,ZMB,Zambia,1946-2016,1989-2016
257,ZWE,Zimbabwe,1946-2016,1989-2016
